customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00044,Male,0,No,Yes,71,Yes,DSL,No internet,Yes,Yes,Month-to-month,Bank transfer,53.42,3658.7,0
CUST-00045,Male,0,No,No,44,Yes,DSL,No internet,Yes,Yes,Two year,Credit card,93.09,3947.44,0
CUST-00046,Male,0,Yes,No,8,Yes,Fiber optic,Yes,Yes,Yes,Two year,Electronic check,62.0,490.9,0
CUST-00047,Male,0,Yes,No,47,No,Fiber optic,Yes,No internet,No internet,Month-to-month,Mailed check,77.84,3750.85,0
CUST-00048,Female,0,Yes,No,35,Yes,Fiber optic,Yes,No internet,No internet,Month-to-month,Bank transfer,103.26,3358.49,0
CUST-00049,Male,0,Yes,Yes,36,Yes,Fiber optic,No internet,No internet,No,Two year,Electronic check,100.42,3390.21,0
CUST-00050,Male,0,No,Yes,50,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Credit card,106.64,5715.3,0
CUST-00051,Female,0,No,Yes,4,Yes,DSL,Yes,No internet,No internet,Month-to-month,Electronic check,25.96,98.78,1
CUST-00052,Female,0,Yes,Yes,2,Yes,DSL,Yes,Yes,No internet,Month-to-month,Bank transfer,89.21,174.14,1
CUST-00053,Female,1,Yes,Yes,6,Yes,DSL,No,Yes,Yes,Month-to-month,Credit card,34.0,219.15,0
CUST-00054,Male,0,Yes,No,54,Yes,DSL,No,No,Yes,One year,Credit card,61.58,3433.82,0
CUST-00055,Female,0,No,No,4,Yes,DSL,No,No,No,One year,Electronic check,74.86,289.96,1
CUST-00056,Male,0,Yes,Yes,54,Yes,DSL,Yes,Yes,Yes,Two year,Bank transfer,60.27,3374.15,0
CUST-00057,Female,0,No,No,63,Yes,Fiber optic,Yes,No,No,One year,Credit card,71.96,4097.98,0
CUST-00058,Male,0,Yes,Yes,18,Yes,Fiber optic,No internet,No,No,Month-to-month,Bank transfer,119.65,2255.2,0
CUST-00059,Female,0,Yes,Yes,44,Yes,Fiber optic,No internet,No,Yes,Month-to-month,Mailed check,33.52,1471.05,0
CUST-00060,Male,0,No,No,34,Yes,No,No internet,No,Yes,Two year,Electronic check,87.55,3163.15,0
CUST-00061,Male,0,No,No,62,No,DSL,No internet,No internet,No internet,Month-to-month,Bank transfer,59.6,4031.2,0
CUST-00062,Male,0,Yes,Yes,14,Yes,No,No internet,No,Yes,Month-to-month,Mailed check,33.3,505.9,0
CUST-00063,Female,0,Yes,No,48,Yes,Fiber optic,No internet,Yes,Yes,Two year,Mailed check,35.87,1862.69,0
CUST-00064,Female,0,No,Yes,15,Yes,Fiber optic,Yes,No,No,One year,Bank transfer,114.93,1728.15,0
CUST-00065,Female,0,No,Yes,72,Yes,Fiber optic,No internet,No,Yes,Month-to-month,Bank transfer,107.96,7555.69,1
CUST-00066,Female,0,No,No,62,Yes,DSL,Yes,No internet,No internet,Two year,Electronic check,110.7,6815.4,0
CUST-00067,Female,0,No,Yes,40,Yes,No,Yes,No internet,No internet,Two year,Electronic check,119.15,4947.01,0
CUST-00068,Male,0,No,Yes,53,Yes,DSL,No,No internet,Yes,Month-to-month,Credit card,40.83,2330.18,0
CUST-00069,Female,0,Yes,No,24,Yes,DSL,Yes,No,Yes,Two year,Electronic check,55.54,1254.84,0
CUST-00070,Male,0,No,Yes,26,Yes,DSL,Yes,Yes,No,Month-to-month,Bank transfer,86.92,2448.94,0
CUST-00071,Male,0,Yes,Yes,60,Yes,DSL,Yes,No internet,Yes,Month-to-month,Credit card,68.38,4361.42,1
CUST-00072,Male,0,No,No,41,Yes,DSL,No,No,No,Two year,Mailed check,61.84,2778.26,0
CUST-00073,Male,0,No,No,29,Yes,DSL,Yes,No,Yes,Two year,Mailed check,55.78,1740.64,0
CUST-00074,Female,0,Yes,No,15,Yes,DSL,No,No,No,Month-to-month,Bank transfer,79.38,1138.29,0
CUST-00075,Female,0,Yes,Yes,45,No,No,No internet,No internet,No internet,Month-to-month,Credit card,77.56,3215.14,0
CUST-00076,Female,0,No,Yes,65,Yes,DSL,Yes,No,Yes,Month-to-month,Credit card,36.15,2167.52,1
CUST-00077,Female,0,No,No,71,Yes,DSL,No internet,No internet,Yes,One year,Electronic check,67.17,4569.94,0
CUST-00078,Female,0,No,No,9,Yes,Fiber optic,Yes,No,No,Month-to-month,Mailed check,75.35,693.64,1
CUST-00079,Female,0,Yes,Yes,1,Yes,No,No,Yes,No,Month-to-month,Mailed check,77.03,81.72,0
CUST-00080,Male,0,Yes,No,8,Yes,DSL,No internet,Yes,Yes,Month-to-month,Electronic check,41.01,354.28,1
CUST-00081,Female,0,No,Yes,63,No,DSL,Yes,No,No,Month-to-month,Mailed check,94.23,6083.42,0
CUST-00082,Male,0,Yes,Yes,11,Yes,No,Yes,No internet,Yes,Month-to-month,Electronic check,22.52,223.23,1
CUST-00083,Male,1,No,No,8,Yes,DSL,No,No,No internet,Two year,Mailed check,55.48,415.99,1
CUST-00084,Male,0,Yes,Yes,35,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Mailed check,98.02,3156.06,0
CUST-00085,Male,0,No,No,35,Yes,DSL,No internet,No,Yes,Month-to-month,Mailed check,76.39,2600.57,0
CUST-00086,Female,1,No,Yes,33,No,No,No,No internet,No internet,Two year,Electronic check,46.12,1522.37,0
CUST-00087,Female,0,No,Yes,5,Yes,No,No internet,No internet,Yes,One year,Mailed check,89.5,406.63,0
CUST-00088,Male,0,Yes,Yes,41,Yes,No,No internet,No internet,Yes,Month-to-month,Mailed check,76.74,3050.99,0
CUST-00089,Female,0,No,No,28,Yes,DSL,Yes,No internet,No internet,Month-to-month,Credit card,99.62,2610.38,1
CUST-00090,Male,0,No,Yes,7,Yes,Fiber optic,Yes,Yes,No,One year,Mailed check,93.5,673.75,1
CUST-00091,Male,0,Yes,Yes,72,Yes,DSL,No,No internet,No internet,Month-to-month,Bank transfer,81.01,5791.04,1
CUST-00092,Male,0,Yes,No,12,Yes,No,No,No internet,Yes,One year,Mailed check,68.82,825.07,0
CUST-00093,Male,0,No,No,34,Yes,No,No,Yes,No internet,Month-to-month,Mailed check,33.32,1116.5,0
CUST-00094,Female,0,No,Yes,33,Yes,Fiber optic,No internet,No internet,Yes,Month-to-month,Credit card,46.13,1661.13,0
CUST-00095,Male,0,No,No,48,No,Fiber optic,No internet,Yes,No internet,Month-to-month,Credit card,61.91,2802.14,0
CUST-00096,Female,0,No,Yes,23,Yes,DSL,No internet,No internet,No,One year,Electronic check,79.93,1844.52,0
CUST-00097,Male,0,Yes,Yes,62,Yes,Fiber optic,No internet,No internet,No internet,Two year,Electronic check,71.37,4633.81,0
CUST-00098,Female,0,No,Yes,37,Yes,Fiber optic,Yes,No internet,No internet,Month-to-month,Bank transfer,48.82,1826.88,0
CUST-00099,Female,0,Yes,Yes,44,Yes,Fiber optic,No,No internet,No,Month-to-month,Credit card,20.65,986.56,1
CUST-00100,Female,0,No,Yes,35,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,69.62,2377.23,1
CUST-00101,Male,0,No,Yes,65,Yes,DSL,Yes,No,No internet,Month-to-month,Electronic check,48.56,3133.47,1
CUST-00102,Male,0,No,No,47,Yes,No,No internet,No internet,Yes,Two year,Electronic check,93.46,4031.13,1
CUST-00103,Female,1,Yes,Yes,3,Yes,No,No,No internet,No internet,Month-to-month,Credit card,22.39,68.63,0
CUST-00104,Female,1,Yes,Yes,1,Yes,No,No internet,No internet,No,Two year,Credit card,78.48,75.16,0
CUST-00105,Male,0,Yes,No,5,Yes,Fiber optic,No internet,No,No internet,One year,Bank transfer,114.15,531.97,0
CUST-00106,Female,0,No,Yes,14,Yes,Fiber optic,No,No internet,Yes,Two year,Credit card,37.44,528.83,0
CUST-00107,Female,0,Yes,Yes,27,Yes,DSL,No,Yes,Yes,One year,Credit card,67.16,1825.04,0
CUST-00108,Female,1,No,Yes,9,Yes,No,Yes,No,No,Month-to-month,Credit card,29.14,240.01,0
CUST-00109,Male,1,No,Yes,15,Yes,Fiber optic,No internet,No,Yes,Month-to-month,Bank transfer,82.57,1287.65,0
CUST-00110,Male,0,No,No,42,Yes,Fiber optic,No internet,No,No,Month-to-month,Mailed check,75.05,3230.13,0
CUST-00111,Male,0,No,Yes,51,Yes,Fiber optic,No internet,No internet,No,Month-to-month,Mailed check,60.74,2905.07,0
CUST-00112,Male,0,No,No,63,Yes,No,No,Yes,Yes,Month-to-month,Electronic check,72.14,4517.04,1
CUST-00113,Male,0,No,No,52,Yes,DSL,No internet,No,Yes,Month-to-month,Mailed check,109.66,5953.59,0
CUST-00114,Male,1,No,No,4,No,DSL,No internet,Yes,No,Two year,Mailed check,39.63,159.45,0
CUST-00115,Female,0,No,Yes,23,No,Fiber optic,No internet,Yes,Yes,Month-to-month,Bank transfer,22.26,501.28,1
CUST-00116,Female,0,Yes,Yes,15,Yes,No,No internet,Yes,No,One year,Bank transfer,106.17,1535.96,0
CUST-00117,Female,0,No,No,43,Yes,Fiber optic,Yes,No internet,No internet,Two year,Mailed check,77.71,3415.31,0
CUST-00118,Female,1,Yes,No,29,No,Fiber optic,No,No internet,Yes,Two year,Mailed check,109.07,3440.81,0
CUST-00119,Female,0,No,Yes,36,Yes,Fiber optic,Yes,No internet,Yes,Month-to-month,Mailed check,79.69,2967.38,0
CUST-00120,Female,0,No,Yes,13,No,Fiber optic,No,No,No,Month-to-month,Electronic check,101.02,1201.57,1
CUST-00121,Male,0,No,Yes,32,Yes,Fiber optic,No internet,No,No internet,Month-to-month,Bank transfer,62.97,1999.2,0
CUST-00122,Female,1,No,Yes,71,No,Fiber optic,No,Yes,No internet,Month-to-month,Mailed check,94.99,7271.46,1
CUST-00123,Female,0,Yes,Yes,59,Yes,DSL,Yes,No,Yes,Month-to-month,Credit card,111.3,6034.09,0
CUST-00124,Male,1,Yes,No,28,Yes,No,No internet,No internet,No,Two year,Mailed check,77.21,2373.26,1
CUST-00125,Male,0,Yes,No,66,Yes,Fiber optic,Yes,No internet,No,Month-to-month,Credit card,38.08,2739.01,0
CUST-00126,Female,0,Yes,No,42,Yes,Fiber optic,Yes,No internet,Yes,Month-to-month,Electronic check,46.88,1802.89,0
CUST-00127,Female,0,Yes,Yes,45,Yes,DSL,Yes,No internet,No internet,Two year,Credit card,39.86,1949.18,0
CUST-00128,Female,0,Yes,No,62,No,DSL,No,Yes,No,Month-to-month,Bank transfer,44.69,2694.93,0
CUST-00129,Male,0,No,Yes,57,Yes,No,Yes,No,No,Month-to-month,Electronic check,50.64,3085.48,1
CUST-00130,Male,0,No,No,6,Yes,DSL,No,No internet,Yes,One year,Electronic check,75.51,445.66,0
CUST-00131,Male,0,Yes,Yes,28,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Mailed check,78.8,2180.3,0
CUST-00132,Male,0,Yes,No,28,Yes,Fiber optic,Yes,No,No internet,One year,Electronic check,62.65,1801.3,1
CUST-00133,Female,0,Yes,No,44,Yes,Fiber optic,No,Yes,No internet,Month-to-month,Electronic check,81.54,3784.71,1
CUST-00134,Female,0,No,Yes,30,Yes,DSL,No,No internet,No,Two year,Credit card,28.16,766.03,0
CUST-00135,Female,0,No,Yes,62,Yes,DSL,Yes,No internet,Yes,Month-to-month,Mailed check,28.78,1817.6,0
CUST-00136,Male,0,No,No,62,Yes,No,Yes,No internet,Yes,Month-to-month,Bank transfer,37.18,2160.73,0
CUST-00137,Male,0,No,No,1,Yes,Fiber optic,No internet,No,Yes,One year,Mailed check,71.81,69.6,0
CUST-00138,Female,1,No,Yes,27,Yes,DSL,Yes,No internet,No internet,Month-to-month,Bank transfer,41.4,1083.81,0
CUST-00139,Female,0,Yes,Yes,62,Yes,DSL,Yes,No,No internet,Month-to-month,Credit card,48.33,2977.92,1
CUST-00140,Female,0,No,Yes,3,Yes,No,No internet,Yes,No,Month-to-month,Electronic check,60.03,174.12,1
CUST-00141,Male,0,Yes,No,70,Yes,DSL,Yes,No,Yes,Month-to-month,Electronic check,101.19,6527.06,0
CUST-00142,Female,0,No,No,72,Yes,Fiber optic,Yes,Yes,No internet,Month-to-month,Mailed check,21.39,1430.93,0
CUST-00143,Male,0,Yes,Yes,27,Yes,Fiber optic,No,No,Yes,One year,Mailed check,84.94,2079.38,0
CUST-00144,Female,0,No,No,9,Yes,No,No,No internet,No internet,One year,Mailed check,86.89,777.36,0
CUST-00145,Female,0,No,Yes,62,Yes,Fiber optic,No,No internet,Yes,One year,Electronic check,99.87,6754.72,1
CUST-00146,Male,0,No,No,37,No,Fiber optic,Yes,Yes,No,Month-to-month,Electronic check,113.28,3869.19,1
CUST-00147,Male,0,No,Yes,51,Yes,DSL,No,No,No internet,Month-to-month,Credit card,22.01,1222.7,0
CUST-00148,Male,0,No,Yes,44,Yes,No,Yes,No,No internet,One year,Bank transfer,35.38,1629.38,0
CUST-00149,Female,1,Yes,No,24,Yes,Fiber optic,No internet,Yes,No,Two year,Mailed check,108.62,2678.57,0
CUST-00150,Male,0,No,Yes,59,No,No,No,No,No,Month-to-month,Electronic check,65.85,3998.04,1
CUST-00151,Female,0,No,Yes,32,Yes,Fiber optic,No internet,No,Yes,Month-to-month,Bank transfer,76.46,2606.6,1
CUST-00152,Male,0,No,No,52,Yes,Fiber optic,Yes,Yes,No internet,Month-to-month,Mailed check,86.3,4134.8,0
CUST-00153,Female,0,No,No,62,Yes,DSL,Yes,Yes,Yes,Month-to-month,Mailed check,87.91,5455.6,0
CUST-00154,Male,0,No,No,58,No,Fiber optic,No internet,Yes,Yes,One year,Bank transfer,113.17,6822.6,0
CUST-00155,Male,0,No,No,52,Yes,DSL,No internet,No,Yes,Month-to-month,Bank transfer,119.69,6331.95,1
CUST-00156,Female,0,No,Yes,12,Yes,Fiber optic,No internet,Yes,No internet,One year,Bank transfer,92.02,1177.73,0
CUST-00157,Male,0,No,Yes,39,Yes,DSL,No internet,Yes,No,Month-to-month,Electronic check,48.72,1737.54,0
CUST-00158,Female,0,No,Yes,2,Yes,DSL,No,Yes,Yes,Month-to-month,Credit card,107.98,224.2,1
CUST-00159,Female,1,Yes,Yes,3,Yes,DSL,No internet,Yes,No internet,Two year,Mailed check,24.92,75.27,0
CUST-00160,Female,1,Yes,Yes,56,Yes,DSL,No,No internet,Yes,Month-to-month,Mailed check,43.11,2355.81,0
CUST-00161,Male,0,No,No,59,Yes,No,No internet,No internet,No,Month-to-month,Bank transfer,109.74,6267.83,1
CUST-00162,Female,0,No,No,2,Yes,Fiber optic,No internet,No internet,No,Two year,Electronic check,45.62,93.44,0
CUST-00163,Male,0,No,Yes,2,Yes,Fiber optic,No,Yes,No internet,Two year,Bank transfer,42.07,90.72,0
CUST-00164,Male,0,No,No,54,No,DSL,Yes,No,No internet,One year,Electronic check,33.81,1824.34,0
CUST-00165,Female,0,No,No,1,Yes,Fiber optic,Yes,No internet,No,Month-to-month,Credit card,105.91,112.79,1
CUST-00166,Male,0,Yes,No,19,Yes,Fiber optic,Yes,Yes,No internet,Month-to-month,Mailed check,70.01,1304.16,0
CUST-00167,Female,1,No,No,2,Yes,No,Yes,No internet,No,Two year,Mailed check,87.49,161.07,0
CUST-00168,Female,0,Yes,No,53,No,No,No,No internet,Yes,Month-to-month,Electronic check,43.91,2123.13,0
CUST-00169,Female,0,No,Yes,44,Yes,Fiber optic,Yes,Yes,No,Two year,Credit card,95.8,3836.96,0
CUST-00170,Female,0,No,No,32,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Credit card,96.0,2998.36,0
CUST-00171,Female,0,No,Yes,70,Yes,DSL,No,No internet,No internet,Month-to-month,Mailed check,51.26,3471.4,0
CUST-00172,Female,1,No,Yes,32,Yes,Fiber optic,No,Yes,Yes,Two year,Mailed check,61.07,2039.42,0
CUST-00173,Male,0,Yes,Yes,68,No,DSL,No,No internet,No,Month-to-month,Bank transfer,40.97,2921.26,0
CUST-00174,Male,0,Yes,Yes,55,Yes,DSL,No,No internet,No internet,Month-to-month,Electronic check,117.66,5889.99,0
CUST-00175,Male,0,Yes,Yes,56,Yes,DSL,No internet,No internet,No internet,Month-to-month,Mailed check,84.56,4471.24,1
CUST-00176,Male,1,Yes,No,17,Yes,Fiber optic,No,No internet,No,Month-to-month,Credit card,113.45,1841.58,0
CUST-00177,Male,0,Yes,Yes,38,Yes,Fiber optic,Yes,No,No internet,Month-to-month,Credit card,50.34,1931.14,0
CUST-00178,Female,0,No,Yes,24,Yes,Fiber optic,No,No,No,Month-to-month,Mailed check,98.19,2189.02,1
CUST-00179,Male,0,No,Yes,69,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Credit card,96.59,6176.77,0
CUST-00180,Female,0,Yes,No,70,No,DSL,No,No,Yes,One year,Electronic check,89.17,6795.92,0
CUST-00181,Male,1,No,No,11,Yes,Fiber optic,Yes,No,No internet,Month-to-month,Credit card,116.56,1360.17,1
CUST-00182,Male,0,No,No,16,Yes,No,No,Yes,No,Two year,Credit card,59.36,889.1,0
CUST-00183,Female,0,No,No,59,Yes,No,No internet,No internet,No,Month-to-month,Mailed check,33.07,1914.67,0
CUST-00184,Male,0,Yes,Yes,70,Yes,Fiber optic,Yes,No,Yes,One year,Electronic check,87.17,5925.7,1
CUST-00185,Male,1,Yes,Yes,3,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Electronic check,92.93,295.02,1
CUST-00186,Male,0,Yes,Yes,20,Yes,Fiber optic,No,No,No internet,One year,Bank transfer,77.51,1553.37,0
CUST-00187,Female,0,Yes,Yes,59,Yes,DSL,Yes,No,No,Two year,Electronic check,40.68,2221.48,0
CUST-00188,Male,0,No,Yes,36,Yes,DSL,No,No internet,No internet,Two year,Bank transfer,70.45,2657.43,0
CUST-00189,Female,1,No,No,19,Yes,DSL,No internet,Yes,No internet,One year,Mailed check,51.22,953.11,0
CUST-00190,Male,1,No,Yes,67,No,DSL,No internet,No,No internet,Month-to-month,Credit card,62.75,4004.9,0
CUST-00191,Female,0,No,No,19,Yes,Fiber optic,No,No,No,Two year,Electronic check,84.52,1565.89,0
CUST-00192,Male,0,No,Yes,20,Yes,No,No,No,Yes,Two year,Bank transfer,94.52,1889.55,0
CUST-00193,Female,0,No,No,71,Yes,Fiber optic,No internet,No,No,Two year,Electronic check,43.22,2972.34,0
CUST-00194,Female,0,Yes,No,52,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Mailed check,60.53,2985.09,0
CUST-00195,Male,0,No,No,33,Yes,Fiber optic,Yes,No internet,No,Two year,Bank transfer,46.92,1516.93,1
CUST-00196,Male,0,No,Yes,40,Yes,DSL,Yes,Yes,No internet,Month-to-month,Bank transfer,39.86,1441.07,0
CUST-00197,Male,0,No,No,39,Yes,DSL,No internet,No,No internet,Month-to-month,Bank transfer,98.34,4044.28,0
CUST-00198,Female,0,No,Yes,1,Yes,Fiber optic,No,No,No,Month-to-month,Mailed check,110.93,103.63,1
CUST-00199,Male,0,No,Yes,11,Yes,Fiber optic,No internet,Yes,No internet,Month-to-month,Bank transfer,57.02,570.01,1
CUST-00200,Female,1,Yes,No,57,Yes,No,Yes,No internet,No internet,One year,Credit card,95.13,5589.09,0
CUST-00201,Male,1,No,No,50,Yes,Fiber optic,No,No internet,Yes,Two year,Mailed check,109.7,5785.51,0
CUST-00202,Male,0,No,No,23,Yes,No,No,No internet,No,One year,Credit card,104.61,2557.05,0
CUST-00203,Female,0,Yes,No,31,No,Fiber optic,Yes,No internet,No,One year,Credit card,38.28,1185.14,0
CUST-00204,Male,0,Yes,Yes,42,No,Fiber optic,No,Yes,No internet,Month-to-month,Mailed check,115.63,4570.29,1
CUST-00205,Male,0,No,Yes,7,Yes,Fiber optic,Yes,Yes,No,One year,Electronic check,57.67,422.84,0
CUST-00206,Male,0,No,Yes,16,Yes,DSL,No internet,No internet,No,Month-to-month,Credit card,53.92,897.18,0
CUST-00207,Female,0,Yes,No,60,Yes,DSL,No,Yes,No,Two year,Mailed check,26.24,1494.51,0
CUST-00208,Female,0,No,No,2,Yes,DSL,Yes,Yes,No,One year,Credit card,68.62,148.31,0
CUST-00209,Female,0,Yes,No,1,Yes,Fiber optic,Yes,No,No internet,One year,Bank transfer,30.9,28.46,0
CUST-00210,Female,0,Yes,No,48,Yes,Fiber optic,No internet,Yes,Yes,Month-to-month,Credit card,44.85,2360.63,0
CUST-00211,Male,0,Yes,Yes,12,Yes,DSL,No,Yes,No internet,Two year,Credit card,51.69,664.97,0
CUST-00212,Male,0,No,Yes,69,Yes,Fiber optic,No,No internet,Yes,Month-to-month,Credit card,100.88,7222.3,1
CUST-00213,Male,0,Yes,Yes,37,Yes,DSL,No,Yes,No,Month-to-month,Bank transfer,107.55,4328.54,0
CUST-00214,Female,0,Yes,No,32,Yes,Fiber optic,No,No internet,No,One year,Credit card,50.25,1679.5,0
CUST-00215,Male,0,No,No,9,Yes,Fiber optic,No internet,No,No,Month-to-month,Mailed check,105.87,893.84,1
CUST-00216,Female,0,Yes,No,19,Yes,Fiber optic,No internet,No,No,Two year,Credit card,105.72,1985.44,0
CUST-00217,Male,0,Yes,No,48,Yes,Fiber optic,No,Yes,No,Month-to-month,Mailed check,96.47,4233.72,1
CUST-00218,Female,0,No,No,3,Yes,DSL,Yes,Yes,No,Month-to-month,Credit card,34.67,101.71,0
CUST-00219,Female,0,No,Yes,20,Yes,No,No,No internet,No,Two year,Credit card,89.03,1866.64,0
CUST-00220,Male,0,No,No,24,No,DSL,No,No,Yes,Month-to-month,Credit card,114.5,2685.59,0
CUST-00221,Female,0,No,Yes,54,Yes,DSL,Yes,No internet,No internet,Month-to-month,Electronic check,88.25,4603.75,0
CUST-00222,Female,0,No,No,33,No,DSL,No,Yes,No,Month-to-month,Electronic check,53.16,1787.74,0
CUST-00223,Male,0,No,Yes,24,Yes,Fiber optic,Yes,No,No,Month-to-month,Bank transfer,70.06,1806.61,0
CUST-00224,Female,0,No,No,72,Yes,Fiber optic,No internet,Yes,No,One year,Mailed check,84.57,5538.08,1
CUST-00225,Female,1,No,No,36,Yes,Fiber optic,Yes,No,Yes,Month-to-month,Bank transfer,71.06,2499.56,1
